Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_34,Site_cam_34_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,0,64,0,64,5,59,0,64,0,64,0,21,43,2,62,3,61,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Unburnt,Unburnt_s2,0,Unburnt,0.6,0,48.44,3.13,0,0,0,519.2,34
Site_cam_35,Site_cam_35_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,4,60,3,61,0,64,0,64,1,63,1,22,42,0,64,5,59,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,45.31,0,6.25,6.25,4.69,535.27,34
Site_cam_36,Site_cam_36_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,0,65,0,65,0,65,4,61,1,15,50,0,65,1,64,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s2,0,Unburnt,0.72,0,26.15,0,1.54,30.77,32.31,474.52,34
Site_cam_37,Site_cam_37_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,0,65,0,65,0,65,0,65,0,2,63,0,65,1,64,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,3.08,0,0,3.08,0,511.4,34
Site_cam_38,Site_cam_38_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,1,64,2,63,0,65,0,65,0,65,0,3,62,0,65,5,60,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,6.15,10.77,1.54,12.31,3.08,485.86,34
Site_cam_09,Site_cam_09_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,3,62,0,65,1,64,1,8,57,3,62,18,47,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s3,686,Unburnt,0.69,0,18.46,1.54,0,0,0,578.61,34
Site_cam_10,Site_cam_10_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,0,65,0,65,0,65,0,8,57,0,65,0,65,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s3,534,Unburnt,0.61,0,12.31,0,0,1.54,0,533.43,34
Site_cam_11,Site_cam_11_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,6,59,0,65,0,65,5,60,0,65,0,20,45,0,65,0,65,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s3,539,Unburnt,0.68,0,38.46,0,10.77,0,0,531.02,34
Site_cam_12,Site_cam_12_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,0,65,0,65,1,64,1,7,58,0,65,0,65,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s3,421,Unburnt,0.65,0,10.77,1.54,0,0,0,498.08,34
Site_cam_13,Site_cam_13_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,1,64,0,65,0,65,0,65,0,5,60,5,60,1,64,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s3,726,Unburnt,0.62,0,7.69,12.31,0,0,1.54,539.45,34
Site_cam_14,Site_cam_14_s3,3,s3,After,30/05/2019,1/08/2019,30/05/2019,63,15,48,2,61,0,63,0,63,0,63,0,17,46,0,63,0,63,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s3,776,Unburnt,0.7,0,28.57,3.17,30.16,6.35,3.17,509.52,33
